んちゅぅ……は、恥ずかしいですっ、ご主人様ぁ……ちゅぷぅ、キスも、胸もっ……	嗯……啊，真是不好意思，主人啊……小鸟，亲吻，胸怀……
そ、そんな、んちゅぅ……ご主人様ぁ……はぅ、ちゅぱっ……アソコ弄りながら、うぅっ……	那、那种、纯……主人啊……哈、小鸟……一边玩弄那里，唔……
ちゅぷぅ、んちゅっ……！？　は、激しいです、んんぅ……あたし、こんなにされたらっ、はぅ、ちゅぱっ……！	chupu、chu……！？是，很激烈，嗯……我要是这么做的话、哈、小鸟……！
はぅ、ちゅぱっ、ご主人様ぁ！　んちゅぅ、胸熱くて、あ、あたしぃ、んちゅぅっ！　はぁ、はうっ……まって、んんっ……！	哈，小鸟，主人！恩，胸口好热，啊，我，恩！哈、哈……等一下，嗯……！
ご主人様ぁ……んちゅ、はぅ……す、好きちゅぷぅ……はううっ……ん……むねも……あそこ……もっ……	主人啊……早、早……喜欢、喜欢……呜呜……嗯……胸部……那里……更……
んちゅぅ、ちゅぱっ……あたしの胸……こうふん、してくれていますか……？　はぅ、ご主人様ぁ、ちゅるぅっ……	喂，小鸟……我的胸……这样哼，在做吗……？喂，主人，小鸟……
胸も、キスも、んちゅぅ、んむぅ！　ご主人様ならっ……はぅ、ちゅぱっ！　んぅ！　はずかしい、ですけどっ……	胸部，亲吻，chuu，nuuu！如果是主人的话……哈、小鸟！嗯！不好意思，但是……
んちゅぅ、ちゅぱっ！　ご主人様っ、ご主人様ぁ……！　アソコも、胸も、んちゅぅ、ちゅるるぅ！　はぁ、ぜんぶっ……！	chu、chupa！主人、主人……！那里也，胸也，chu，churuuuu！哈、全部……！
欲張りですね、ちゅぅ、ちゅぱっ……ご主人様は本当にエッチです、んむぅ……胸までそんな、弄ってぇ……	好贪心啊，ちゅ、ちゅぱ……主人真的是H，唔……连胸口都这样，玩弄着……
んちゅぅ、ちゅ、唾液いっぱい、垂れちゃってます、ご主人様ぁ……！　興奮し過ぎですぅ、はぅ、ちゅるるぅ……！	哼，chu，唾液满满，垂下了，主人啊……！太兴奋了，哈，小春……！
乳首立ってぇ、はぅ、ちゅぷぅ、ご主人様っ、あたしぃ！　れろぉ、ちゅるるぅ！　蕩けちゃいます、れろぉ、んちゅぷぅ……！	乳头站起来，哈，小鸟，主人，我！啊，小春！快要溶化了、快滚、小鸡鸡……！
