んっ……あ、ぅうっ……や、ぁああっ……ご、ご主人様っ……そのっ……わたし、いやです……んっ……おっきいの、むりっ……	嗯……啊，呜呜……啊、啊啊啊……喂，主人……那个……我讨厌……嗯……好大的，好大的……
はぁ、はうっ……んっ……こんなの、んっ……いやぁ……はぁ、はうっ……やさしくが……いいです……ご主人様ぁ～っ……！	哈、哈……嗯……这样的，嗯……哎呀……哈、哈……虽然很温柔……可以……主人啊……！
はぁ、はうっ……はずかしい、です……んん～っ……ご、ご主人様に……はぁ、はう……顔、ずっと見られてるの……	哈、哈……不好意思……嗯……给主人……哈、哈……一直能看到你的脸吗……
はぁ……はぁ、んっ……ちょっと、待ってぇ……んっ……はぁ、はうっ……恥ずかしいです……んっ……えっち、するの……	哈……啊，嗯……等一下……嗯……哈、哈……不好意思……嗯……诶，要做……
んっ……ぁううっ……はぁ、はぁ、ご主人様ぁ、んっ……あんまり、みないでください……はぁ、はう、あそこも、かおも……	嗯……呜呜呜……哈，哈，主人啊，嗯……不要太看……哈、哈、那里也是……
きゃうっ、んんっ……！　はぁ、はうっ、ちょっと、んっ、はげしいですっ、んっ、あううっ、えっちなおと、聞こえますぅ、んんっ！	啊，嗯……！啊，哈，有点，嗯，好厉害啊，嗯，啊呜，能听见很棒的声音，嗯！
はぁ、はぅうっ、んっ……！　恥ずかしくて、な、泣いちゃいそうです、んっ……ご主人様の、えっち、えっちっ……！	哈、哈、嗯……！害羞得快哭出来了……嗯……主人大人的、诶、诶……！
はぁ、はうっ、あああっ……！　あのっ、んっ、何か、キちゃうからぁ、んっ！　ご、ご主人様っ、ちょっとだけ、ゆっくりにしてぇ！	哈、哈、啊啊……！那个，那个，什么，要做点什么啊，嗯！喂，主人，请稍微慢一点！
はぁ、はううっ！　エッチな顔見ないでぇ、んっ！　ふぁああっ、んっ！　お願いです、あ、あたし、んんっ！　恥ずかしくて、あぅうっ！	哈、哈！不要看H的脸，嗯！啊啊啊啊，嗯！拜托了，啊，我，嗯！好害羞啊！
あうっ、んっ！　おっきいの、いっぱいっ……！　あああ、んっ！　アソコ、もうっ、どろどろになっちゃってるの、んんっ……！	啊，嗯！大大的、满满的……！啊啊，恩！那里，已经，变得粘稠了，non……！
ふぁああっ！　すき、すきっ……！　はぁ、はううっ！　えっちするのすきっ！　ご主人様ぁ、んっ、すきすきぃ、はうううっ……！	啊啊啊啊！喜欢、喜欢……！哈、哈！好色的！主人啊，嗯，喜欢，呜呜呜……！
んっ……はぁ、はうっ……はぁ、はうっ……優しいですね……んっ……あうっ……えへへぇ……んっ、気持ちいいです、ご主人様ぁ……	嗯……哈、哈……哈、哈……很温柔呢……嗯……啊……嘿嘿……嗯，好舒服，主人……
