はぁ……はぅっ……そこは……その……い、いたくてっ……ご主人様っ……聞いて……いますか……？　んぅんっ……！	哈……啊……那里是……那个……好痛、好痛……主人……听着……在……？嗯……！
ひぁっ……！？　ん、んくっ……ご、ご主人様、そこダメ、です……んん！　さ、触らない、でっ……！	啊……！？嗯，哼……喂，主人，这可不行……嗯！来、不碰、出来……！
は、ぅ……んん！　ご主人様、お尻に入ってる、じゃないですかっ……な、なんで、そんなとこ……んくぅうっ……	是、唔……嗯！主人，不是进到屁股里了吗……什、为什么、那种地方……嗯……
ひう、んぅ！　や、やめっ……くうぅっ……ダメなのにっ……は、ああっ……！　そこ、よ、弱いんですっ……んんぅ、や、ダメぇっ……！	呜、呜！不，算了……呜呜……明明不行……啊、啊……！那里，哟，很弱啊……恩、不、不行……！
はぁ……はぅっ……そこ……あ、ありえないです……ああ、ただでさえ……おしりで、して……はずかしいのに……んんんっ……！	哈……啊……那里……啊，不可能……啊，本来就……用屁股……明明很害羞……嗯……！
ん、ひうっ……んんぅ、ど、どこ触ってるんですかぁっ……くうぅ……そこ、だ、めっ……あ、あぅっ……お尻だけに、してください……	嗯，哎……嗯，怎么，摸了哪里啊……呜呜……那里、那里、哎……啊、啊……只在屁股上……
ひゃ、あっ……ん、んぅ……だ、ダメですよ、ご主人様……そ、そこ触られたら……ひうっ……！	哎呀，哎呀……嗯，嗯……不行啊，主人……那，要是被摸到那边的话……哇……！
はぁ、あっ……！　ひゃ、めっ……あ、ああっ！んん！　そんな触られたらっ……ん、ひゃ、あっ……んんっ……恥ずかしすぎて、ああ、あうううっ！	啊、啊……！哎呀，哎呀……啊、啊！嗯！如果被摸到了的话……哎、哎呀……嗯……太害羞了，啊啊，啊呜呜！
はぁ、はうっ……そんな……ところ、弄られたら……だ、だれだってぇ……はぁ、はう……こえが、漏れて……しまうじゃないですか……	哈、哈……那种……可是，被玩弄的话……谁、谁……哈、哈……声音漏了……不就完了吗……
ん、ふっ……ひゃっ……！　あ、そこっ……ご主人様、触っちゃダメです……ん、んぅ！　だ、ダメって……言ってるのにっ……ん、くぅ……	嗯，哼……哎呀……！啊，那里……主人，不可以碰……嗯，嗯！啊，不行……明明说了……嗯，唔……
ん、はぁっ……くぅっ……ダメ、です……は、あっ……声が出ちゃって……くぅ、ひゃっ……い、弄らないでくださいぃっ……！	嗯、哈……唔……不行……啊、啊……声音出来了……呜、喵……不、请不要玩弄……！
ひゃっ……ん、んーっ……！　な、なんでそんな、触ってくるんですかぁっ……あ、あっん……指で擦っちゃ……んぅ、ひぅっ……！	哎呀……嗯、嗯……！喂，为什么要摸那种东西啊……啊，啊……用手指擦一下……唔、唔……！
はぁ、あっ……んんぅ！　お尻挿れながら、そこ弄っちゃ、ひゃっ……ダメぇぇっ……！　わ、私っ……お、おかしくなっちゃ、ぁぁっ……くぅ！	啊，啊……恩恩恩！一边插着屁股，一边玩弄它，喵……不行啊……！我、我……喂，变奇怪了，啊啊……呜！
は、ぁあっ……ご、ご主人様ぁっ！　も、もうダメ、ダメですからっ！　イっひゃあっ、イっちゃいますからぁっ！　お、お尻……んんぅ！	啊、啊……喂，主人！已经不行了，不行！哎呀呀，要走了！喂，屁股……恩恩恩！
ん、んぅっ……ご主人様っ……もっと、あっ、そこっ……もっと触ってくださいっ……ん、ひゃっ……んんぅぅ……気持ち、いいです……ひゃっ……	嗯，嗯……主人……更加、啊、那里……请再摸一摸……哎、哎呀……嗯……好舒服……哎呀……
