ん、うぅ、くうっ……苦しっ……くぅ……こんなご奉仕……はぁ、はぁっ……わ、わたしには……んっ……で、できない、です……	嗯、唔、唔……痛苦……唔……这样的服务……哈、哈……我、我……嗯……不会，不会……
ん、ふぅっ……なんで、こんなこと……？　……んんぅ……よくわかりません……にほん……も、なんてっ……ああっ……くぅん……	嗯，呼……为什么、这样的事……？……嗯……不太明白……日本……怎么、怎么……啊……嗯……
いい加減、抜いてくれても……は、ぁっ……ぐぅ……同時になんて……苦しいです……は、あっ……はひっ……ご主人様っ……ん……	就算你给我适可而止……啊、啊……唔……同时什么的……很痛苦……啊、啊……哈哈……主人……嗯……
ふぅ、はぁぁ、くっ……ご主人様は気持ちいいんですよね……？　それなら……わかりました……続けて、大丈夫、です……ん、はぁ……んぅ……	呼、哈、唔……主人心情很好吧……？那么……知道了……接着，没关系……嗯，哈……嗯……
こんな恥ずかしい私を……見て……はぁ、はひっ……恥ずかしいので、やめてほしいです……んぅ、ひゃ、くっ……んん！	这样害羞的我……你看……哈、哈哈……因为害羞，希望你不要这样做……嗯，喵，呃……嗯！
はぁ、あっ……んん！　アソコも、お尻も……いっぱい出し入れされて……はぁあっ……んく、ひいいっ！　だめ、声、勝手にっ……！	啊，啊……嗯！那里、屁股……满满地拿出来……啊啊……嗯，好棒！不行，声音，随便……！
は、ぁっ……んんぅ、ひゃっ……！　ち、違います……感じてる、わけじゃっ……はぁ、あっ、ひぅっ……んん！　も、もうぅっ……！	啊、啊……恩、喵……！不……有感觉，所以说……啊，啊，呜……嗯！已经、已经……！
はぁ、あっ……んんぅ！　ご、ご主人様ぁっ……！　これ以上、されちゃったら、わ、私、私……おかしくっ……あああっ……！	啊，啊……恩恩恩！喂、主人……！如果再被欺负的话，我、我……奇怪……啊啊……！
ひゃ、あっ……んぅ、くうぅ！　あっ、だ、だめ……これ、ダメっ……ですっ！　お、おもちゃ切ってっ……やっ、あっ、おかしくなっ、んんっぅ！	哎呀，哎呀……呜、呜！啊，不行，不行……这个不行……啊！哦，把玩具切断了……啊，啊，奇怪了，嗯嗯！
ひあっ……んんんっ！　はっ、ご主人様っ、も、もうっ……はぁぁっ！　お尻と、アソコっ……一緒にされてぇっ、わ、私、あっ、あっ……ひゃうぅぅ！	哎呀……嗯哼！啊，主人，已经……啊啊！屁股和屁股……一起去吧、我、我、啊、啊……呜呜！
んんぅっぅぅ！　あっ、来ちゃっ……はあぁっ、ダメ、なのにっ……両方で、あっ、おもちゃでぇっ……！　んんっ、イちゃっ、はぁっ、ひうぅ、くううぅんっ！	恩恩恩恩！啊，来了……啊，不行，但是……两个都、啊、是玩具……！哼，好，哈，呜呜，呜呜呜！
はぁ、あっ……ご主人様もわかりますか……？　私の中、おもちゃとご主人様の……ごりごりって、あっ……ぶつかってるのっ……んんっ、変な感じ、してっ……	啊，啊……主人也明白吗……？我的里面，玩具和主人的……嘎吱嘎吱，啊……撞上了……嗯，奇怪的感觉……
んぅ、はぁっ……んぅ、くぅ……もっと、激しくでも……んん、いいですよ……？　ご主人様も、それじゃ……もどかしいかなって……ん、はぁっ……	嗯，哈……嗯，唔……再激烈一点……恩，可以啊……？主人，那么……是不是很着急呢……嗯、哈……
ひゃ、はぁっ……んぅ……ご主人様っ、い、今そんなに見られたら……はぁ、あっ……恥ずかしくて、おかしくなっちゃいそうでっ……んんっ、ダメぇっ……！	喵、哈……嗯……主人，喂，现在能这么看的话……啊，啊……因为害羞，好像变得奇怪了……恩、不行……！
くぅ、はぁっ……おもちゃも、ご主人様も、いっぱい気持ちよくて……はぁっ、んぅ！　このまま続けたら、私っ……声が、どんどん甘く……あああっ……！	唔、哈……玩具也好，主人也好，心情也好……啊，嗯！这样继续下去的话，我……声音越来越甜……啊啊……！
はぁ、ぁぁ……んぅ！？　だ、ダメなのにっ……んんう、あっ……こんな、恥ずかしいところ、ご主人様に見られてぇっ……はぁ、あっ、ひぁぁ！	啊、啊……嗯！？啊，不行啊……嗯，啊……这种害羞的地方，被主人看见了……啊、啊、啊！
んぅ、ひゃっ……こ、声っ、出ちゃうの、我慢できなくてぇっ……はぁぁっ、ご主人様に、聞かれちゃう、んぅ……！　あっ、はぁぁ、ひぁんっ！	嗯，哎呀……这、声音、要出来了、我忍不住了……啊，被主人问了，嗯……！啊、哈、哈！
ふやぁっ！　あっ、くっ、んぅ！　は、激しすぎますぅっ！　んぅ、くっ！　こ、こんなの、我慢できなっ、あっ、あっ！　ご主人、様ぁっ！	哼哼！啊，呜，呜！是、太激烈了！唔、唔！这、这样的、不能忍耐、啊、啊！主人，先生！
