ん、ん……あ、あんまり触らないで……ください……はぁ、はひっ……んっ……恥ずかし過ぎて……わ、私……んぅんっ……	嗯，嗯……啊，不要碰太多……请给我……哈、哈哈……嗯……太害羞了……我、我……嗯……
なんでそんなに触りたがるんですか……？　うぅ、指がいやらしいですよ……ご主人様っ……んぅ……	为什么那么想摸呢……？唔，手指好讨厌啊……主人……嗯……
んっ……は、あっ……あうっ……ご主人様は、そのっ……私を苛めて、楽しいでしょうか……わ、私はそのっ……	嗯……啊、啊……啊……主人，那个……欺负我，开心吗……我、那个……
はぁ、私は……ご、ご主人様に苛められて感じる……んくっ……ひ、んっ、はぁ、変態なんかじゃ……あうっ……んやぁん……	啊，我……被主人欺负的感觉……哼……哇，哈，变态什么的……啊……嗯……
んっ……意地悪なご主人様に、はぁ、はうっ！　きっと、んっ！　指で苛められた後に、いっぱい犯されちゃうんですね、んぁ、んんんっ！	嗯……对坏心眼的主人，哈，哈！一定、恩！被手指欺负之后，被侵犯了很多呢，恩，恩！
はぁ、はあ、ご主人様ぁ、指、だけじゃなく、こ、ことば、でもっ……んくっ……はぁ、はひっ……！　私の事を苛めるんですね……！	啊，啊，主人啊，不仅仅是手指，这个，语言，但是……哼……哈、哈……！欺负我啊……！
うそ、ああっ！　いやぁっ、んっ！　普通に触られるよりも、濡れちゃってるぅっ、ん、くっ！　はぁ、はぁ、言葉で、されて、るのにっ……！	骗人，啊啊！哎呀，嗯！比起被普通的触摸、更湿的、唔、唔！哈，哈，用言语，被做，在……！
はぁぁ……ご主人様……指でいっぱい気持ちよくしてくださいね……？　んぅ……はぁっ……ご主人様にされるのどきどきしますっ……	啊……主人……请用指头让心情愉快吧……？嗯……哈……被主人叫得心里七上八下的……
んぅ、はぁっ……ご主人様の指、いやらしく動いてて……んふっ！　あ、アソコ……そんなに触っちゃ……ん、くぅんっ……	嗯，哈……主人的手指，像讨厌一样动着……哼哼哼！啊，那里……那么碰……嗯，唔……
はぁ、あっ……んんぅ、そこくりくりされたら私気持ちよくて……はぁ、んっ……はぁぁ……声出ちゃいますっ……	啊，啊……恩，如果被绑得那么紧的话我心情会好点……啊，嗯……啊……会发出声音的……
ひうっ……！　んんぅ……アソコ、すごい熱くなっちゃって……はぁっ……ご主人様の指、ひんやりしてて……んぅ、ひゃうっ……	哇……！嗯……那里，变得非常的热……哈……主人的手指，凉飕飕的……唔、呜呜……
ひゃ、んぅ……！　ご主人様ぁっ……アソコからお汁溢れちゃってっ……くぅんっ……！　はぁ、あっ……恥ずかしいですっ……	喵、恩……！主人啊……从那里溢出汁液了……唔唔……！啊，啊……不好意思……
