ん、んぅ……ご主人様……これ、お尻に……うぅ……ちゅ、んぺろ、ちゅ……な、なんでこんなこと……くぅ……んぅ……	嗯，嗯……主人……这个，在屁股上……唔……中、平、中……什、为什么会这样……唔……嗯……
ちゅ、んぅ……ちゅぷ……あ、味がして……うぅ……お尻に、入っていたんですよ……？　こんなの舐めたくないですっ……	俊、恩……小鸟……啊，有味道……唔……屁股里有哦……？不想舔这种东西……
ちゅ、ぢゅるっ……んぅぅ……ご主人様っ……んんぅ！　こんなのもうやめたいですっ……くぅ、んぅ……ちゅ、ぢゅ、れりゅっ……！	秀、秀……嗯……主人……恩恩恩！我想放弃这个……唔，嗯……ちゅ、じゅ、れりゅ……！
ちゅ、んぢゅくっ……は、ぁぁっ……こんな変なことして、私っ……んんぅ、エッチな気分になっちゃって……は、あぁっ……ちゅ、ぢゅぷっ……	ちゅ、んじゅく……啊、啊……做这种奇怪的事，我……恩，变成色情的心情……啊、啊……秀、秀夫……
ちゅ、ぢゅるっ……ん、ん……お尻に入ってたのに……ご主人様はこれで楽しいんですか……？　ん、ぢゅ、りゅぅっ……私……	秀、秀……嗯，嗯……明明放在屁股里……主人这样开心吗……？嗯，嗯，嗯……我……
んちゅぷっ……はむ……ちゅ、んぅ……もっと舐めないといけませんか……？　ん、ぢゅ、ちゅる……変な味がしちゃって……んぅ、あんまり……	哼哼……哈姆……俊、恩……必须要再舔一遍吗……？嗯，是的，是的……味道有点怪……嗯，太……
は、あむっ……ちゅ、くっ……んんぅ、ご主人様に私のいやらしい姿見られてっ……んぅ、ぢゅ、ちゅっ……他の人には、見せませんからっ……	哈、哈……ちゅ、く……恩，被主人看见我讨厌的样子……恩、秀、ちゅ……我不会给别人看的……
んふっ……んちゅ、るっ……は、ぁっ……！　ご主人、様ぁっ……こんないやらしいことさせられたら私っ……んぢゅ、ちゅうぅっ……うぅぅ……	哼哼哼……喂，喂……是、是……！主人，先生……如果让我做这种恶心的事的话……嗯，嗯……呜呜……
ちゅ、むっ……んん……お尻に入ってたおもちゃを……舐めるなんてっ……ちゅ、んぅ、ぢゅむ……は、あっ……変な味しちゃいますよ……もう……	一、唔……嗯……把放在屁股里的玩具……竟然舔……嗯，嗯，缩……啊、啊……味道很奇怪哦……已经……
んちゅ、くっ……んぅ、ご主人……様変態ですよね……？　いやらしいおもちゃ舐めさせて……しかもお尻に入ってたもの……ですよ……？　ちゅ、ぢゅむぅっ……	哼，哼……嗯，主人……真是变态啊……？让我舔一下令人讨厌的玩具……而且是放在屁股上的东西……哦……？秀、缩唔……
ちゅぢゅ、れるっ……！　ん、んぅっ！　お尻の味しちゃうエッチなおもちゃ……いっぱい舐めちゃって……んぅ、はぁっ……ご主人様、興奮してますかっ……？　ちゅ、ぢゅぷっ……	秀秀，滚开……！嗯，嗯！有着屁股味道的色情玩具……我舔了很多……嗯，哈……主人，兴奋吗……？秀、秀夫……
