ん、ぐぅっ！　はぁんぶっ……！　けほっ、けほっ……な、なんれ、こんなっ……んぐっぅ！　はぁ、んぶっ！	嗯，嗯！哈哈哈……！喂，喂……什、什、这样的……呼呼！哈，嗯！
んぐ、ぐぢゅ、んっぅ！　や、やべてっ、んぅぅ！　んぐぢゅ、んぶっ！　はっぁ、はぁぁっ……くる、ひっくへぇ……んぐっぅ！	嗯，呼呼，嗯！呀，糟了，嗯！嗯，嗯，嗯！哈、哈……来，嘿嘿嘿……呼呼！
は、あぶっ……んぅぐっ！　ぢゅぐ、んぐうぅ！　はぁっ……けほっ、んぐ、ぅぇ……はげ、ひぐ、ひないれっ……！	是，危险……嗯哼！嗯，嗯！哈……呃，嗯，嗯……秃子、ひぐ、雏盒……！
はぁ、んぐぅ、ぢゅぶっ！　はっ、んんぅぅ！？　んっ、ぶっ……ら、べっ……いぎ、ぐるじいぃっ……んぐっぅ、んぶっ、うぐうぅ……！	啊，嗯，是啊！嗯，嗯！？嗯，嗯……嗯，呃……嗯，真是的……嗯，嗯，嗯，嗯……！
んぶっぅ！　んぐっ、はぁっ……んぐうぅっ！　な、んれ、ごんなごどっ……んんぅぐ、んぶっ！　ゆるひ、へっ……もぉ、むりぃっ……！　んぶぅぅ！	嗯哼！嗯，哈……嗯，嗯！嗯，呃，不好意思……嗯，嗯！呼，嘿嘿……已经，不行了……！嗯哼！
は、うぐっ！　んぶっ、！　ぐぢゅ、んっぐ！　はぁっ……はぁ……んぶぅぅ！？　はぁ、ぁっ……ぢゅ、ぢゅぐっ！	哈，呜！嗯，嗯！唔，唔！哈……哈……嗯哼！？啊、啊……啊，真是的！
んうぐ、あっ、うぐっ！　んぶっ！　ご、しゅひん、ふぁまぁっ！　んぅぅっ！　や、やざじぐっ……じでぐ、だざいぃ！　んぐぅぅ、ぢゅぐ！	嗯，啊，嗯！嗯！哦，小礼物，哦！嗯！呀，糟了……那么，再见！嗯，嗯！
んぐ、っ……！　はぁ、あぶっ！　んっ！　おぐ、までっ……いれ、ないでぇっ！　んぐっ！　はぁ、あぐぅ、ぢゅ、んぐぅ！	嗯，嗯……！啊，危险！哼！哇，假的……不要，不要！哼哼！哈、啊、呜、呜、呜！
は、あぐっ……んぶっ！　んぅうぐっ！　へいぎ、だ、がらぁっ……は、やぐっ……らじでぇ！　んっぅ、ぐぢゅ、んぢゅぐぅぅ！	是啊，是啊……嗯！呜哇！嗯，但是……啊，不好意思……活该！嗯，嗯，嗯，嗯！
んぶっ、あぁっ、はぁぁ……！　んぐっ、ぢゅ、んぐぢゅる！　げ、んがいぃっ！　もぉぉ、むりぃぃ！　んぐっ、ぢゅぐうっ！	嗯，啊，啊啊……！嗯，嗯，嗯，嗯。嗯，嗯！哇，不行！嗯，嗯！
あぐっ！　んぐ、ぢゅ、ぢゅぐっ！　はぁぁ、んぐ、んんぅぅぅ！？　んんつ、ごじゅ、じん、ざまぁっ！　らひへっ、はやぐ、はやぐぅぅ！　んっぅ、ぢゅ、ぐうぅぅう、んぶぉっ！	啊！嗯，是的，是的，是的！哈，嗯，嗯，嗯！？嗯，遵命，人，活该！哎呀呀，哎呀呀，好快啊！嗯，嗯，嗯，嗯，嗯！
んぐっ……はぁ、あぶっ……んん、おぐまで、はいっでるっ……んっぅ、んぐぢゅ、ぢゅる、ぐうっぅ……！	哼哼……啊，危险……嗯，托您的福，我出去了……嗯，呼呼，呼呼，呼呼……！
ん、ぶっ……はぁ、あぶっ……んぐ、うぅっ、ぐぢゅるっ……けほっ……はぁっ、けほっ……はぁ……へ、いぎ……だいじょう、ぶっ……だがらぁっ……	嗯，嗯……啊，危险……嗯，嗯，嗯，嗯……呵呵……哈，喂……哈……嗯，不好意思……没关系，嗯……但是啊啊……
んぐっ……！　んっ、ぢゅ、ぐっ……ごぶっ……！　んっぅ、ぐぅぅ……はぁ、はぁっ……は、はげじぐでっ……はぁ、あぶっ……んぐぅっ！	唔……！嗯，是的，是的……冒牌货……！嗯，嗯……哈、哈……哈哈，是假的……啊，危险……嗯哼！
