んちゅっ、んっ、んぅぅ……う、動けない、のに……はぁ、ん、ううう……息、できない、です……！	嗯，嗯，嗯……嗯，动不了，但是……哈、嗯、呜呜……不能呼吸，是……！
うぅぅ……ちゅぷ、ちゅ、キス、しながらなんて……ちゅ、んちゅ……ご主人様、無理やりすぎます……ちゅ、うっ、うぅ……！	嗯……中浦、中、接吻、干什么……ちゅ、んちゅ……主人，太勉强了……中、唔、唔……！
ちゅぷ、ちゅ……はぁ、んっ、んむ……エッチ、激しすぎて……あっ、うぅ、んぷ、まっ、待ってください……ちゅる、キス、苦しいです……！	中，中…哈、嗯、嗯……H，太激烈了……啊，嗯，嗯，等一下……嗯，接吻，好痛苦……！
んちゅぅ、ちゅっ、ぢゅぷっ、い、息が……んんぅぅっ！　あぁっ、や、やだ、動けないのに……んっ、ううっ！　いっ、イッちゃ……あっ、あぅうううっ！	嗯，呜，呜，呜，嗯，呼吸……嗯！啊，哎呀，哎呀，我动不了……嗯，嗯！一、一起来……啊，对了！
ちゅる、ちゅ、はむぅぅ……ご主人様となら……んぷ、うぅ……普通のエッチで……ちゅーしてほしいですぅ……	嗯，中，嗯……如果是主人的话……嗯，嗯……普通的H……希望大家能关注我……
んぷっ、ちゅ……はぁ、んっ、んむぅ……ちょっと、キス激しすぎます……ちゅ、んぅ、好きって思いは、伝わりますけど……あっ、ちょっ……んぷっ、んんぅぅ……	哼哼，ちゅ……哈、嗯、嗯……有点，接吻太激烈了……嗯，嗯，虽然我能传达我喜欢你的心情……啊，等一下……嗯，嗯……
んんむぅぅっ、ぢゅっ、ぢゅる、ぢゅぅぅ……！　はぁ、はぁ……無理やりのエッチ、なのに……キスのせい、です……ちゅっ、うぅ、キスのせいで……	嗯，嗯，嗯，嗯，嗯，嗯……！哈、哈……强行的H，但是……是因为接吻……中、嗯、因为接吻……
んんぅぅぅ！　ちゅっ、ぷちゅ……ご、ご主人様……ごめんなさい、もう……んひっ！　んっ、ううっ！　ちゅぷ、き、キスしたまま、イッちゃいそうです……ッ！	嗯，嗯！中、噗、噗……主人……对不起，已经……嗯哼！呜、呜！中浦、基、亲了之后，好像就要吻了……嘘！
ううっ、ちゅ……ご、強引、すぎです……んむっ、んっ、無理やり縛って、キスなんてしなくて、も……んぷ、普通にご奉仕しますから……ちゅ、んむぅぅ……	嗯，中……您太强行了……嗯，嗯，不，强行束缚，即使不接吻，也……嗯，我们会正常服务的……嗯，嗯……
はむぅ、ちゅっ、ちゅりゅ……ご主人様の舌が……あぷっ、んっ、うう……苦しい、です……はぁ、はぁ、頭、くらくらしちゃって……ひゃぷ、んんぅぅ……！	哈、中、中……主人的舌头……啊噗，嗯，呜呜……好痛苦……哈、哈、头、头晕……哼，嗯……！
ちゅるっ、ぢゅっ、ぢゅぅぅぅぅっ！　ぷはぁっ、ご、ご主人様っ！　激しい、です……はぁ、はぁ……拘束されたまま感じちゃうのいやです……！　んんんぅぅっ、ちゅっ、うぅぅぅ！	嗯，嗯，嗯，嗯！噗哈哈，哦，主人！很激烈……哈、哈……讨厌被束缚着的感觉……！嗯，嗯，嗯！
