お、お客様……んっ、んぅっ、キスは、その……ちゅっ、んっ、んぅっ、い、息、できない、です……！	客人……嗯，嗯，接吻，那个……嗯，嗯，嗯，嗯，不能呼吸……！
ぷちゅ、んっ、んんぅぅ……い、いや、んはっ、あぁぁ……キス、いや……んっ、うぅぅ……ご主人様、どうして、こんな……	噗、嗯、嗯……不，不，嗯，啊……接吻，不对……唔、唔……主人，为什么会这样……
ちゅぷっ、はぁ、はぁ……いや、やめてください……！　んっ、んぅぅっ！　うふっ、お客様、わ、あたし……はぅ……ちゅぷっ……んんっ……	中、哈、哈……不，请停止……！嗯、嗯！嗯，客人，我，我……哈……小鸟……嗯……
んひゅっ、ちゅっ、んちゅぅ……！　いやっ、もう、キスいやですっ！　はぁ、はぁ、だめ！　これ以上、されると……んぐっ、んふっ、ちゅぷ、んんん！	嗯，嗯，嗯，嗯……！喂，已经不想接吻了！哈、哈、不行！再这样下去的话……嗯，嗯，嗯，嗯，嗯！
ちゅっ、い、いや……あっ、あむっ、んぅぅ……ご、ご主人様、助け……はむっ、んっ、んぅぅぅ……！	嗯，不，不……啊，啊，嗯……主人，救命啊……嗯，嗯，嗯……！
んちゅっ、んっ、んんぅぅっ……あたしの口は、ご主人様だけらのに……あむっ、い、いや……あぅっ、いや、です……ちゅ、うぅぅ、い、いや……！	嗯，嗯，嗯……我的嘴，明明是主人的蝼蚁……啊，不，不……啊，不，是的……嗯，嗯，不，不……！
お客様……あうっ、待って、ください……せめて、キス……やめて……ひゃむっ、んっ、んんぅぅっ、ちゅぶ、うっ、はぁ、はぁ……くるひい、れす……うぅぅ……	客人……啊，等一下，请……至少，接吻……住手……嗯，嗯，嗯，中，嗯，哈，哈……来，被……嗯……
ひあああっ！　んっ、んぅぅぅっ！　いやっ、キス……はぐっ、んっ、いやっ！　も、もうやめてくださいっ！　だめですっ！　も、もう……んむぅぅぅぅっ！	啊啊啊啊！嗯，嗯！喂，接吻……小育，嗯，好啊！也，请停止吧！不行！已经……嗯，嗯！
んむぅっ、んっ、いや……お客様……だめです……ちゅ、うぅぅっ、無理やり、するのは……キス、じゃ……んむっ、うっ、ちゅ、うぅぅ……	嗯，嗯，不……客人……不行……嗯，嗯，勉强做的是……接吻，那么……嗯，嗯，嗯，嗯……
ご主人様、どうして……あたしは……ちゅ、うぅぅ……あっ、だめ、です……お客様、んぅっ、うむっ、うぅ……く、苦しい、です……！	主人，为什么……我……嗯，嗯……啊，不行，不行……客人，嗯，嗯……嗯，很痛苦……！
はぁ、はぁ……んぅぅぅっ！　お、お客様……！　こ、こんな、恋人みたいな、こと……ひゃぷっ、んっ、んぅぅっ！　い、いや、んむぅぅぅっ！	哈、哈……嗯！客人……！这、这样的、像恋人一样的……哎呀，嗯，嗯！嗯，不，嗯！
んむ、ん、んぅぅ……お、お客様の、舌が……んっ、うぅぅ……はぁ、んふぅぅ……ご主人様に……きらわれちゃうよぉ……	嗯，嗯，嗯……客人您的舌头……唔、唔……哈，嗯……向主人……真讨厌啊……
はふっ、んっ、んちゅぅ……お客様、はぁ、はぁ………あふっ、ん、んうぅ……くるひ……んっ、ひゃくっ！　ちゅぷっ……んっ……	哈哈，嗯，嗯……客人，哈，哈……啊，嗯，嗯……来的时候……嗯，一百！中等……嗯……
