れろ、ん……ちゅ、んむ……うぅ、こ、これで、いいでしょう、か……ちゅ、うぅ、できれば、や、やめたい、です……	嗯，嗯……嗯，嗯……嗯，这个，这样可以吗……嗯，嗯，如果可以的话，或者，我想放弃……
んむっ、んっ、ちゅ……ちゅぷ、んぅっ、いや、も、もう十分ですよね……？　……だ、だから、うぅぅ……つらい、です……	嗯，嗯，嗯……嗯，嗯，不，已经足够了吧……？……所以，嗯……很痛苦……
ちゅぷ、んっ、んぅ……ちゅ、ちちゅ……、んっ、うぅ……お客様、はぁ、はぁ……見ないで、ください……きもちわるいです……	嗯，嗯，嗯……中、中…、嗯、嗯……客人，哈，哈……请不要看……心情不好……
ひゃうっ、んっ、うぅっ、あぅぅぅ……っ！　お、お客様……あっ、あむっ、舐めるのは、も、もう……んむぅぅぅぅっ！	嗯，嗯，嗯，啊……嘿！客人……啊，啊，啊，舔啊，已经……嗯，嗯！
はむっ、うっ、んむぅぅ……お客様の……どうして、あたし……ちゅぷ、んっ、うぅ……あたし、イヤ、です……	嗯，嗯，嗯……客人的……为什么，我……嗯，嗯……我不喜欢……
ちゅ、ん、んぅ……ちゅぷ、ちゅ、ちゅ……お客様、ま、まだ、続けるん、でしょう、か……もう、イヤ、です……	中、嗯、嗯……中、中、中…客人，嘛，还可以继续吗，是吗……已经、不想了……
んっ、ちゅ、ちゅぷ……あたしには、恋人、が……んむっ、んっ、うぅぅ……！　いや、ちゅ、んぅぅっ、いや、です……！	嗯，中，中……对我来说，恋人……嗯，嗯，嗯……！不，中，嗯，不，是……！
んぷっ、んっ、んぅぅぅぅぅっ……ちゅ、うぅっ……お客様、あたしは……ご、ご主人様の……ひゃぷっ、んっ、んぅぅっ……ちゅっ、んうぅぅぅっ……	嗯，嗯，嗯，嗯……喂，嗯……客人，我是……主人……哎呀，嗯，嗯……嗯，嗯……
んっ、んぅぅ……こ、こう、でしょうか……うぅ、ご主人様以外、のを……ご奉仕、なんて……うぅぅ……	嗯，嗯……这、这样吗……嗯，除了主人以外……服务什么的……嗯……
んぷっ、ちゅ……ちゅぷ、んぅ、も、もう、お口、辛いです……お客様、あたし……はぁ、はぁ……ちゅ、もう、限界、です……うぅ。	哼哼，ちゅ……嗯，嗯，已经，口，很辣了……客人，我……哈、哈……中、已经是极限了……呜呜。
んぷ、ちゅっ、ちゅりゅっ、んんぅっ！　お客様、そ、そんなに、大きく、されたら……ひゃぷっ、んっ、んぅっ！　い、いや、です……んぅぅぅっ！	嗯，中，中，中，嗯！客人，那个，那么大的话……哎呀，嗯，嗯！不，不，是……嗯！
