んむぅぅっ！　んっ、うぅっ、いや、唇、まで……あっ、いやっ、離れ、て……んむっ、んぅ～～～！	嗯，嗯！嗯，嗯，不，连嘴唇……啊，喂，离开……嗯，嗯～～！
ひゃむっ、んっ、んぅぅぅ……っ！　いやっ、んっ、んぐぅぅ……！　お、お客様……！　やめて、くだ……ひゃむっ、んっ、んぅ……いや、いやぁぁ……！	哎呀，嗯，嗯……嘿！嗯，嗯，嗯……！客人……！请住手……哎呀，嗯，嗯……不，不……！
んぐっ、んっ、んやぁぁっ！　あっ、くぅぅ……お、おきゃく、さま……んむっ、ちゅ、んぅーーーーっ！　あっ、あぁ、ひどいです……んんっ……	嗯，嗯，哎呀！啊，唔……哦，客人，先生……嗯，中，嗯——！啊，啊，太过分了……嗯……
んむぅっ！　ちゅっ、んぅっ、んぅぅ～～～～～！　いやっ、いやですっ！　あぁっ！　こんな、しないで……はぅぅぅっ、あ、あたし、もう……んぅぅ～～～～！	嗯！嗯，嗯，嗯～～～～～！喂，不要！啊！不要这样……嗯，啊，我已经……嗯～～～！
んぐっ、うっ、あふぅぅ……！　き、キス、やめ……ひゃふっ……おねがい、ですっ……やめ……んむっ、うぅぅ、うぅぅっ！	嗯，嗯，嗯……！来、接吻、停止……啊哈哈……拜托了……停止……嗯，嗯，嗯，嗯！
ひゃむっ、んっ、んぅぅぅ……っ！　お客様……い、いや……あぅっ！　やめ……んちゅっ、んっ、んやああっ！　んっ、んぅぅぅ……！	哎呀，嗯，嗯……嘿！客人……不、不……啊！停止……嗯，嗯，啊！嗯，嗯……！
……ひゃぐっ、んっ、んむっ、んんぅぅぅ……！　息が、んむっ、んっ、んぐっ、うぅぅ……ご主人様ぁ、もうイヤです……！	……嗯，嗯，嗯，嗯……！呼吸，嗯，嗯，嗯，嗯，嗯……主人啊，我已经讨厌了……！
んぅぅぅ～～～～～！　ぷはぁっ、あふっ、いやっ！　お客様っ！　ダメですっ！　ひゃむっ、んっ、んぐぅっ、うっ、ひゃうぅ～～～～～！	嗯～～～～！噗哈哈，啊哼，好！客人！不行啊！哎呀，嗯，嗯，嗯，呜，呜～～～～！
ちゅ、んぅぅ……やめ……そんな……はふっ、あっ、ダメ……んっ、うぐっ、せっくすも……やだぁ……！	俊、恩……停止……那样的……哈哈，啊，不行……嗯，嗯，还有……讨厌啊……！
んむぅぅ～～～！　ちゅぶっ、んっ、いやっ！　はぁ、はぁ……んむぅっ、うっ、うぅぅ……お客様、はむっ、んっ、うぅぅ、あたし、もう……苛めないで～っ……！	嗯～～～！喂，嗯，好！哈、哈……嗯，嗯，嗯……客人，哈哈，嗯，嗯，我已经……不要欺负我～…！
はぅぅっ、んっ、んぅぅっ！　くひゅっ、んっ、うぅぅ……っ！　はぁ、もう、だえき、おきゃくさまのだえき、やだぁっ……	嗯，嗯，嗯！嗯，嗯，嗯……嘿！啊，真是的，那个，客人的笑料，讨厌啊……
