んしょ、んん……え、えっと、苛められたい、ですか……？　え、えっ……？　どうして、ですか……	嗯，嗯……嗯，那个，想被欺负吗……？诶，诶……？为什么呢……
うぅ～～っ……こ、この……えっと……変態……！　とか、うぅ、こんな感じでいいんですか……？　あ、合ってますか……？	呜~呜……这、这个……嗯……变态……！这样的感觉可以吗……？啊，对了吗……？
んん……！　こ、このオモチャで苛めるだけでも、その……恥ずかしいのに……！　うぅ、メイドに酷い事言われたいなんて……！	嗯……！这、光是用这个玩具来欺负、那个……明明很害羞……！嗯，竟然想被女仆说残酷的话……！
ご、ご主人様は、その……変わった趣味を持ってますから、んっ、んしょ……！　もう少し、なんていうか……健全になった方がいいと思います……	哦，主人，那个……因为有着奇怪的兴趣，嗯，嗯……！再稍微，怎么说呢……我觉得还是健康一点比较好……
あ、あたし……ご主人様の事好きですから、うぅ……苛めたりとか、するのは気が進まないです、けど……でも、それがご主人様の望みなら……	啊，我……因为我喜欢主人，所以……虽然不想欺负人，但是……但是，如果这是主人的愿望的话……
んん、んしょ……オモチャで、こうして……するだけじゃ満足できないんですよね……？　意地悪な事、その……あたしに言われたいんですよね……？	嗯，嗯……用玩具，这样……光做是不能满足的吧……？坏心眼的事，那个……想被我说吧……？
ご、ご主人様の……その、へ、変態……あたしに苛められたいだなんて、本当におかしな人ですね……！　うぅ……こ、これで、もういいですか……？	哦，主人的……那个，嘿嘿，变态……想被我欺负，真是个奇怪的人啊……！唔……这、这样就可以了吗……？
はぁはぁ、オモチャで、ちゃんと……イカせてあげますから……！　うぅ、苛めてほしいとか、その……き、気持ちの悪い事言わないで下さい……！	哈哈，用玩具，好好地……我会让你开心的……！嗯，想让你欺负我，那个……来，请不要说恶心的话……！
んしょ……あたしに苛めてほしいだなんて……えっと、どうしよもうない変態ですね、ご主人様は……！	嗯……想让我欺负你什么的……嗯，怎么都没办法了，主人……！
オモチャでされて、んん……！　おっきくし過ぎじゃないですか、まったく……んしょ、はぅ、ほら、ビクビクさせないで下さい……！	被当做玩具，嗯……！你不是太大了吗，真是的……嗯，哈，看，请不要惊慌失措……！
き、気持ち悪いですね、ご主人様は……！　もしかして、その……あたしに苛めらてイっちゃいそうなんですか……どうしようもないですね……！	来，好恶心啊，主人……！或许，那个……是不是被我欺负了啊……真是没办法啊……！
なんですか、ご主人様……オナホでシゴかれて興奮しちゃってるんですか、んしょ……本当に……気持ち悪いですね、まったくもう……	怎么了，主人……在自慰的时候被啄了很兴奋吧，嗯……真的……真恶心，真是的……
んしょ、んん……！　マゾ豚さんには、んっ……！　オナホで充分ですよね……ほらほら、早く射精して終わりにして下さいね……！	恩、恩……！对于猪先生，嗯……！自慰就足够了吧……瞧，快点射精结束吧……！
イクときは、ちゃんとあたしに『イカせて下さい』っておねだりしてから射精するんですよ……！　いいですね、マゾ豚ご主人様……！	好球的时候，要好好地向我求爱，然后再射精哦……！太好了，麻猪主人……！
こうして、んん……！　オナホで苛めてあげてるんですから、いくら感謝してもし足りないくらいですよね、本当は……！	就这样，嗯……！因为在自慰的时候欺负他，所以不管怎么感谢都不够，其实……！
