うぅ～～～っ……あ、足だなんて……その……これ、気持ち良いんですか……？	呜呜~~~啊，竟然是脚……那个……这个，心情好吗……？
ご、ご主人様は、えっと……変わった趣味をしていますね、うぅ、んっ……	哦，主人，嗯……有着奇怪的兴趣呢，嗯，嗯……
こんなに、硬くしてるだなんて……ご、ご主人様、うぅっ……足で苛められるの、そんなに期待してるんですか……？	居然这么硬……主人，嗯……那么期待脚被欺负吗……？
あ、あんまり、その……あたし……酷い事言ったりとか、できませんよぉ……	啊，太，那个……我……不能说残酷的话啊……
あの、ご、ご主人様っ……あたしの事見ないで下さい、うぅ～～っ……こうして足でしてるの、恥ずかしくてぇ……	那个，主人……请不要看我，嗯～……就这样用脚做，好害羞……
んしょ、はぅ……！　は、激しくすると、そのっ……痛くないでしょうか……？　んんっ……！	嗯，哈……！是，激烈的话，那个……不痛吗……？嗯……！
ご、ご主人様の、もしかして乱暴にされて……こ、興奮してるんですかっ？　うぅ、それじゃまるで変態じゃないですかっ……！	哦，主人，难道是被粗暴对待了……这，很兴奋吗？嗯，那就完全不是变态了……！
はぁはぁ、あ、あたし、なんだか変な気持ちになっちゃいそうです……！　足でこんなに、いっぱいしてぇ……！	哈，啊，我，好像有种很奇怪的心情……！用脚做了这么多……！
ご、ご主人様の、ビクビク震えてぇ！　まさか、うぅ、本気で感じてるなんてぇ……！　足でイクんですか、ご主人様っ……！	哦，主人，吓得发抖！不会吧，我是真的这么觉得的……！脚受了伤吗，主人……！
はう、あたし、いつまでこんな事っ、んぅ！　足でこんなに擦って、あぁ、まるであたしまで、はぁはぁ、あぁっ……！	哈，我，这种事要到什么时候啊，呜！用脚这么擦，啊，就连我也，啊啊啊，啊……！
ご、ご主人様っ、うぅ、出すなら早く出して下さいっ、ぁああっ！　足でこんなにするの、あたし、あたしぃっ！　はぅ～～～っ！	主人，嗯，要拿出来的话请快点拿出来啊，啊啊！我要用脚这样做！哈～～～！
はぁ、はううっ……ご主人様が変態だと……足でご奉仕しなくちゃいけないから……大変です、んぅんっ……！	哈、哈……如果主人是变态的话……因为必须用脚来服务……真是糟糕啊，嗯……！
えへへっ……それじゃあ、あたしの足でぐりぐり～って、いっぱい苛めてあげますね、ご主人様っ……	嘿嘿……那么，我就用我的脚咕噜咕噜地，来欺负你吧，主人……
惨めな短小は、足で充分ですよねっ？　こんなのじゃ、誰も満足できないです、えへへ♪	悲惨的短小，用脚就足够了吧？这样的话，谁都不会满足，嘿嘿♪
ほらほら、もう少しおっきくできないんですかぁ？　どうしようもないマゾ豚ですね、ご主人様はっ……！	你看，不能再大一点吗？这是没办法的猪啊，主人……！
なんですか、その気持ち悪い顔は、んんぅ……！　もしかして、足で苛められて興奮してるんですかぁ？　気持ち悪いですぅ……！	怎么说呢，那个恶心的脸，嗯……！难道是因为脚被欺负而兴奋吗？好恶心啊……！
はう、んっ、壊れちゃうくらい足でぐりぐりしてあげますからぁ……！　どれくらい耐えられるか、見ててあげますねっ♪	哈，嗯，我会用脚给你揉成一团，让它坏掉的……！我来看看能忍耐多久吧♪
あれぇ、もしかして先走り出てませんかっ？　足でされて興奮してるんですか、この家畜はっ……！　本当気持ち悪いですねっ	咦，难道你没有先跑出来吗？用脚做的话会很兴奋吗，这个家畜是……！真的很恶心呢
んぅ、勝手にイっちゃダメです、えへへっ♪　あたしの許可なく射精したらぁ、もう苛めてあげませんからっ……ほらほらぁ！	嗯，不能随便乱来，嘿嘿♪如果没有我的许可射精的话，我就不会再欺负你了……看吧！
出したいんですかぁ？　薄くて汚い精液ぃ、その惨めな短小からっ！　えへへ、わかりましたぁ、足でイっちゃってくださいっ♪	想拿出来吗？又薄又脏的精液，从那个悲惨的小短小开始！嘿嘿，我明白了，请用脚踢吧♪
はぁっ……ふふ、あたし、足でおちんちん擦る日が来るとは、おもわなかったです……ご主人様って、ほんとに駄目人間ですねっ……？	哈……呵呵，我没想到用脚擦小鸡的日子会来……主人真是个没用的人啊……？
んっ、こう、ですかっ……ふふっ、あたし、なんだか足が疲れてきちゃったかもぉ……？　やめちゃってもいいですよね、ご主人様？	嗯，这样啊，这样啊……呵呵，我好像脚累了……？可以放弃吧，主人？
はぁっ、ご主人様、こうやって、擦るのがいいんですかっ……？　それとも、言葉でいじめられながらの方がいいですか……？　この、変態っ……！	哈，主人，这样摩擦比较好吗……？还是一边被语言欺负一边比较好呢……？这个，变态……！
そんな、気持ち悪い顔してっ……わかってるんですよ、ご主人様が、マゾだってこと……！　ほんとうにドン引きです、気持ち悪いっ……！	那种恶心的表情……我知道啊，主人是个坏蛋……！真让人扫兴，真恶心……！
ふふっ……メイドにこんなっ、こと頼んでっ、もうイッちゃいそうなんですかっ、情けないっ、ご主人様、ふふっ、ほら、ほら……！	呵呵……变成女仆了，拜托你了，你看起来已经很帅了，真没出息，主人，呵呵，你看，你看……！
気持ちいいんでしょっ、ほらっ、イッちゃえばいいんですっ、ご主人様なんてっ、はぁっ、ふふっ！　ほらっ、イッちゃえ……！	好舒服啊，看，只要一到就行了，主人什么的，哈哈！瞧，你这家伙……！
かかとでっ、踏んであげたいですっ、マゾな、ご主人様なんてっ……！　メイドに情けなく、お願いすればいいんですっ、ほら……！	我想用脚后跟踩你，真是个谜，主人什么的……！对女仆太无情了，拜托她就好了，你看……！
ふふっ……相変わらず、ご主人様ってド変態ですねっ……？　はぁ、あたし、いつまでこんなご奉仕の相手をさせられるのかなぁ……？　なんて、ねっ……？	呵呵……还是老样子，主人真是变态啊……？哈，我到底能让你做这种服务的对象到什么时候呢……？怎么会……？
はぁっ、はぁ……！　ほらっ、こうしてかかとで擦られるとっ、気持ちいいんでしょっ、マゾ豚っ！　ブヒブヒ、言ってくださいよっ、ほらっ……！	哈、哈……！看，这样用脚后跟摩擦的话，心情会很好的，真是猪啊！ブヒブヒ，请告诉我，你看……！
あはっ、おちんちん、真っ赤じゃないっ、ねえ豚さんっ、もうだめになっちゃうんですかぁ～？　ねえっ、なんとか鳴いてみてくださいよっ、ほらっ！	啊，小金，不是通红的，喂，小猪，已经不行了吗？喂，请无论如何试着叫一下啊，看！
このっ、まま、きんたま潰しちゃったらっ、どんな鳴き声あげるんですかっ、マゾ豚っ、ふふっ！　ほらっ、ちゃんとおっきくしないと、潰しちゃうぞ～っ？	这个，就这样，把金球弄破了的话，会发出什么样的叫声呢？你看，不好好长大的话，会崩溃的哦～？
はやくイッてぇ？　ほらっ、マゾ豚は文句言わずっ、精液だしてっ、それしかできないくせにっ、あははっ！　あたしの足にでも、射精してくださいよっ、んんっ！	快点去吧？你看，猪不抱怨，是精液，只会做那个，啊哈哈！就算是我的脚，也请射精哦，嗯！
